Army1
no.ntnu.idatg2001.sandeth.Army.Units.CavalryUnit,Alfa Blue,20
no.ntnu.idatg2001.sandeth.Army.Units.InfantryUnit,Alpha,100
no.ntnu.idatg2001.sandeth.Army.Units.RangedUnit,Bravo,100
no.ntnu.idatg2001.sandeth.Army.Units.CommanderUnit,Charlie,150
no.ntnu.idatg2001.sandeth.Army.Units.CommanderUnit,Delta,150
no.ntnu.idatg2001.sandeth.Army.Units.CommanderUnit,Echo,150
no.ntnu.idatg2001.sandeth.Army.Units.CommanderUnit,Foxtrot,150
no.ntnu.idatg2001.sandeth.Army.Units.CommanderUnit,Golf,150
no.ntnu.idatg2001.sandeth.Army.Units.CavalryUnit,Alfa Blue,20
no.ntnu.idatg2001.sandeth.Army.Units.InfantryUnit,Alpha,100
no.ntnu.idatg2001.sandeth.Army.Units.RangedUnit,Bravo,100
no.ntnu.idatg2001.sandeth.Army.Units.CommanderUnit,Charlie,150
no.ntnu.idatg2001.sandeth.Army.Units.CommanderUnit,Delta,150
no.ntnu.idatg2001.sandeth.Army.Units.CommanderUnit,Echo,150
no.ntnu.idatg2001.sandeth.Army.Units.CommanderUnit,Foxtrot,150
no.ntnu.idatg2001.sandeth.Army.Units.CommanderUnit,Golf,150

Army1
no.ntnu.idatg2001.sandeth.Army.Units.CavalryUnit,Alfa Red,10
no.ntnu.idatg2001.sandeth.Army.Units.InfantryUnit,Alpha,100
no.ntnu.idatg2001.sandeth.Army.Units.RangedUnit,Bravo,100
no.ntnu.idatg2001.sandeth.Army.Units.CommanderUnit,Charlie,150
no.ntnu.idatg2001.sandeth.Army.Units.CommanderUnit,Delta,150
no.ntnu.idatg2001.sandeth.Army.Units.CommanderUnit,Echo,150
no.ntnu.idatg2001.sandeth.Army.Units.CommanderUnit,Foxtrot,150
no.ntnu.idatg2001.sandeth.Army.Units.CommanderUnit,Golf,150
no.ntnu.idatg2001.sandeth.Army.Units.CavalryUnit,Alfa Blue,20
no.ntnu.idatg2001.sandeth.Army.Units.InfantryUnit,Alpha,100
no.ntnu.idatg2001.sandeth.Army.Units.RangedUnit,Bravo,100
no.ntnu.idatg2001.sandeth.Army.Units.CommanderUnit,Charlie,150
no.ntnu.idatg2001.sandeth.Army.Units.CommanderUnit,Delta,150
no.ntnu.idatg2001.sandeth.Army.Units.CommanderUnit,Echo,150
no.ntnu.idatg2001.sandeth.Army.Units.CommanderUnit,Foxtrot,150
no.ntnu.idatg2001.sandeth.Army.Units.CommanderUnit,Golf,150
